TimestampR,avgP_perhour
1988-12-03 20:00:00,803.9639393939394
1988-12-03 21:00:00,806.5518504672897
1988-12-03 22:00:00,809.1308253968253
1988-12-03 23:00:00,809.0035266821345
1988-12-04 00:00:00,817.1228143712575
1988-12-04 01:00:00,823.8898742138365
1988-12-04 02:00:00,827.192554517134
1988-12-04 03:00:00,829.3809523809524
1988-12-04 04:00:00,829.8526031746031
1988-12-04 05:00:00,830.5926031746031
1988-12-04 06:00:00,831.4721587301588
1988-12-04 07:00:00,831.4319682539683
1988-12-04 08:00:00,831.1944761904762
1988-12-04 09:00:00,830.4354603174603
1988-12-04 10:00:00,829.8706984126984
1988-12-04 11:00:00,829.8351428571428
1988-12-04 12:00:00,829.8750442477876
1999-12-31 02:00:00,816.9365033222591
1999-12-31 03:00:00,810.3663736263736
1999-12-31 04:00:00,815.3629678848283
1999-12-31 05:00:00,817.1955980066446
1999-12-31 06:00:00,819.7075249169435
1999-12-31 07:00:00,827.3856810631229
1999-12-31 08:00:00,821.5346345514951
1999-12-31 09:00:00,819.0283554817275
1999-12-31 10:00:00,824.4827574750831
1999-12-31 11:00:00,827.4244186046511
1999-12-31 12:00:00,828.2492026578074
1999-12-31 13:00:00,829.4598671096345
1999-12-31 14:00:00,830.6060797342193
2019-08-02 18:00:00,836.3133333333334
2019-08-03 19:00:00,830.4483720930233
2019-08-03 20:00:00,832.6776411960133
2019-08-03 21:00:00,833.6725913621262
2019-08-03 22:00:00,834.616511627907
2019-08-03 23:00:00,836.185415282392
2019-08-04 00:00:00,836.6881395348837
2019-08-04 01:00:00,836.8871760797342
2019-08-04 02:00:00,837.2272757475083
2019-08-04 03:00:00,837.5305980066445
2019-08-04 04:00:00,837.8958471760798
2019-08-04 05:00:00,838.2575083056479
2019-08-04 06:00:00,839.2267774086379
2019-08-04 07:00:00,840.756511627907
2019-08-04 08:00:00,834.5540531561462
2019-08-04 09:00:00,827.4686378737541
2019-08-04 10:00:00,820.186611295681
2019-08-04 11:00:00,815.2223255813954
2019-08-04 12:00:00,815.4397342192691
2019-08-04 13:00:00,815.4374418604651
2019-08-04 14:00:00,808.7376744186047
2019-08-04 15:00:00,805.1965780730897
2019-08-04 16:00:00,807.9360465116279
2019-08-04 17:00:00,807.5172093023256
2019-08-04 18:00:00,822.9000332225913
2019-08-04 19:00:00,829.3414617940199
2019-08-04 20:00:00,833.4202325581396
2019-08-04 21:00:00,834.8281063122923
2019-08-04 22:00:00,835.1685049833887
2019-08-04 23:00:00,835.4748504983389
2019-08-05 00:00:00,836.3828571428571
2019-08-05 01:00:00,837.0086378737542
2019-08-05 02:00:00,837.1511627906976
2019-08-05 03:00:00,837.627607973422
2019-08-05 04:00:00,838.6929900332226
2019-08-05 05:00:00,838.9012292358804
2019-08-05 06:00:00,841.4281063122924
2019-08-05 07:00:00,842.9276411960133
2019-08-05 08:00:00,838.1875083056478
2019-08-05 09:00:00,829.0677408637874
2019-08-05 11:00:00,811.8908305647841
2019-08-05 12:00:00,810.0938870431894
2019-08-05 13:00:00,808.0711295681064
2019-08-05 14:00:00,803.3364285714285
2019-08-05 15:00:00,800.8872757475083
2019-08-05 16:00:00,805.6373255813953
2019-08-05 17:00:00,807.0571096345515
2019-08-05 18:00:00,818.7586378737542
2019-08-05 19:00:00,828.3002860286028
2019-08-05 20:00:00,830.9959930915371
2019-08-05 21:00:00,834.9725474956822
2019-08-05 22:00:00,835.4522538860103
2019-08-05 23:00:00,835.0455872193437
2019-08-06 00:00:00,836.1211744386874
2019-08-06 01:00:00,836.8288514680484
2019-08-06 02:00:00,837.7853281519862
2019-08-06 03:00:00,838.2991105354058
2019-08-06 04:00:00,839.0134715025906
2019-08-06 05:00:00,839.6844905008636
2019-08-06 06:00:00,840.4206303972367
2019-08-06 07:00:00,840.4264994165694
2019-08-06 08:00:00,836.0806651108518
2019-08-06 09:00:00,828.506487747958
2019-08-06 10:00:00,816.7726604434073
2019-08-06 11:00:00,810.0429054842474
2019-08-06 12:00:00,816.4479229871645
2019-08-06 13:00:00,811.0903150525088
2019-08-06 14:00:00,805.1144574095682
2019-08-06 15:00:00,807.7798716452742
2019-08-06 16:00:00,811.5779579929988
2019-08-06 17:00:00,817.8063593932322
2019-08-06 18:00:00,825.9430805134189
2019-08-06 19:00:00,832.6740956826138
2019-08-06 20:00:00,833.9374329054842
2019-08-06 21:00:00,834.2332205367561
2019-08-06 22:00:00,834.2388564760794
2019-08-06 23:00:00,834.816487747958
2019-08-07 00:00:00,836.8603150525088
2019-08-07 01:00:00,835.6447141190198
2019-08-07 02:00:00,834.4748308051342
2019-08-07 03:00:00,834.1766977829639
2019-08-07 04:00:00,834.3988681446908
2019-08-07 05:00:00,835.6699766627771
2019-08-07 06:00:00,836.0485764294049
2019-08-07 07:00:00,836.6241540256709
2019-08-07 08:00:00,833.1585180863477
2019-08-07 09:00:00,827.9058109684947
2019-08-07 10:00:00,819.0595565927655
2019-08-07 11:00:00,815.6094509803921
2019-08-07 12:00:00,810.4473388429752
2019-08-07 13:00:00,808.6339534883721
2019-08-07 14:00:00,803.4130980066445
2019-08-07 15:00:00,810.4878820598007
2019-08-07 16:00:00,822.4371013289036
2019-08-07 17:00:00,821.4741777408638
2019-08-07 18:00:00,816.0539202657808
2019-08-07 19:00:00,828.0144252491694
2019-08-07 20:00:00,831.5857674418604
2019-08-07 21:00:00,832.5693621262459
2019-08-07 22:00:00,834.2508571428572
2019-08-07 23:00:00,835.0930166112956
2019-08-08 00:00:00,835.0855747508306
2019-08-08 01:00:00,835.5520199335548
